# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1     0     0     0     0
    1     0     0     0     0
    1     3     0     0     0
    1    58    37     0     0
    1    60    36     0     0
    1    85    56     0     0
    1    85    56     0     0
    1    88    56     0     0
    1    86    56     0     0
    1    87    57     0     0
    1    84    55     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    85    55     0     0
    1    86    57     0     0
    1    86    56     0     0
    1    85    55     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    83    54     0     0
    1    87    57     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    85    56     0     0
    1    85    55     0     0
    1    87    56     0     0
    1    86    56     0     0
    1    85    55     0     0
    1    87    56     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    87    57     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    83    54     0     0
    1    85    55     0     0
    1    86    57     0     0
    1    84    55     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1    87    56     0     0
    1    85    55     0     0
    1    86    55     0     0
    1    84    54     0     0
    1    85    55     0     0
    1    87    56     0     0
    1    87    56     0     0
    1    86    55     0     0
    1    86    56     0     0
    1    86    56     0     0
    1    86    55     0     0
    1    86    55     0     0
    1    86    56     0     0
    1    86    55     0     0
    1    86    56     0     0
    1    86    55     0     0
    1    86    56     0     0
    1    85    55     0     0
    1    86    56     0     0
    1    79    50     0     0
    1    34    19     0     0
    1    28    15     0     0
