# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
    1    91    54     0     0
    1    77    50     0     0
    1    72    48     0     0
    1    71    47     0     0
    1    78    50     0     0
    1    80    49     0     0
    1    79    50     0     0
    1    75    48     0     0
    1    72    48     0     0
    1    74    48     0     0
    1    76    50     0     0
    1    77    50     0     0
    1    79    50     0     0
    1    74    48     0     0
    1    75    48     0     0
    1    73    49     0     0
    1    78    51     0     0
    1    78    50     0     0
    1    74    49     0     0
    1    74    48     0     0
    1    78    49     0     0
    1    80    50     0     0
    1    80    50     0     0
    1    78    50     0     0
    1    80    50     0     0
    1    78    50     0     0
    1    77    50     0     0
    1    75    49     0     0
    1    73    48     0     0
    1    73    49     0     0
    1    80    49     0     0
    1    74    48     0     0
    1    78    50     0     0
    1    77    49     0     0
    1    79    49     0     0
    1    79    50     0     0
    1    75    48     0     0
    1    79    49     0     0
    1    77    50     0     0
    1    76    49     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1    76    49     0     0
    1    75    49     0     0
    1    77    49     0     0
    1    74    49     0     0
    1    74    48     0     0
    1    79    50     0     0
    1    76    50     0     0
    1    80    50     0     0
    1    80    50     0     0
    1    74    49     0     0
    1    76    49     0     0
    1    79    50     0     0
    1    76    50     0     0
    1    80    50     0     0
    1    78    50     0     0
    1    78    50     0     0
    1    78    50     0     0
    1    77    49     0     0
    1    70    46     0     0
    1    75    49     0     0
    1    74    49     0     0
    1    72    46     0     0
