# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0     0     0     0     0
    0     0     0     0     0
    0     0     0     0     0
    0     4     0     0     0
    0    36    19     0     0
    0    75    47     0     0
    0    76    47     0     0
    0    76    48     0     0
    0    76    47     0     0
    0    77    47     0     0
    0    79    47     0     0
    0    79    47     0     0
    0    78    47     0     0
    0    79    47     0     0
    0    76    48     0     0
    0    77    47     0     0
    0    74    47     0     0
    0    79    47     0     0
    0    79    47     0     0
    0    74    46     0     0
    0    72    46     0     0
    0    77    48     0     0
    0    75    48     0     0
    0    78    48     0     0
    0    79    48     0     0
    0    76    48     0     0
    0    73    47     0     0
    0    77    48     0     0
    0    77    48     0     0
    0    77    47     0     0
    0    77    47     0     0
    0    78    47     0     0
    0    76    47     0     0
    0    78    48     0     0
    0    76    47     0     0
    0    76    47     0     0
    0    76    47     0     0
    0    76    47     0     0
    0    76    48     0     0
    0    74    46     0     0
    0    76    47     0     0
    0    76    48     0     0
    0    74    46     0     0
    0    78    48     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0    74    47     0     0
    0    78    48     0     0
    0    78    48     0     0
    0    75    46     0     0
    0    78    47     0     0
    0    77    48     0     0
    0    77    47     0     0
    0    77    47     0     0
    0    76    48     0     0
    0    78    48     0     0
    0    76    49     0     0
    0    79    47     0     0
    0    79    47     0     0
    0    76    47     0     0
    0    77    48     0     0
    0    77    48     0     0
    0    78    48     0     0
    0    77    47     0     0
    0    78    47     0     0
    0    78    48     0     0
    0    71    43     0     0
    0    49    29     0     0
