# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0     0     0     0     0
    0     0     0     0     0
    0     0     0     0     0
    0     2     0     0     0
    0    71    46     0     0
    0    72    47     0     0
    0    72    46     0     0
    0    71    46     0     0
    0    71    46     0     0
    0    72    46     0     0
    0    71    46     0     0
    0    71    45     0     0
    0    71    45     0     0
    0    71    45     0     0
    0    72    46     0     0
    0    72    46     0     0
    0    72    45     0     0
    0    72    45     0     0
    0    72    45     0     0
    0    72    46     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    46     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    46     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    46     0     0
    0    73    45     0     0
    0    72    45     0     0
    0    73    46     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    73    46     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0    73    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    72    45     0     0
    0    73    45     0     0
    0    73    45     0     0
    0    72    45     0     0
    0    73    45     0     0
    0    72    45     0     0
    0    73    45     0     0
    0    72    46     0     0
    0    71    45     0     0
    0    72    45     0     0
    0    72    46     0     0
    0    72    46     0     0
    0    71    46     0     0
    0    71    45     0     0
    0    72    47     0     0
    0    72    47     0     0
    0    71    45     0     0
    0     7     2     0     0
    0     0     0     0     0
