# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1     0     0     0     0
    1     1     0     0     0
    1     2     0     0     0
    1    59    39     0     0
    1    59    39     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    59    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    59    38     0     0
    1    59    38     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    59    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    39     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    61    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    61    38     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1    60    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    61    39     0     0
    1    61    39     0     0
    1    60    38     0     0
    1    61    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    60    38     0     0
    1    61    38     0     0
    1    61    38     0     0
    1    60    38     0     0
    1    61    38     0     0
    1    60    38     0     0
    1    61    39     0     0
    1    61    38     0     0
    1    61    38     0     0
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
