# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0     0     0     0     0
    0     0     0     0     0
    0     0     0     0     0
    0     5     0     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    29     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    50    28     0     0
    0    50    28     0     0
    0    50    29     0     0
    0    50    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    29     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    29     0     0
    0    49    28     0     0
    0    50    29     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    29     0     0
    0    49    28     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    0    49    28     0     0
    0    50    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    50    29     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    49    28     0     0
    0    50    29     0     0
    0     0     0     0     0
    0     0     0     0     0
