# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
    1     0     0     0     0
    1    78    47     0     0
    1    77    47     0     0
    1    76    47     0     0
    1    75    47     0     0
    1    74    48     0     0
    1    77    47     0     0
    1    76    47     0     0
    1    73    46     0     0
    1    74    47     0     0
    1    78    47     0     0
    1    76    47     0     0
    1    78    47     0     0
    1    78    47     0     0
    1    78    48     0     0
    1    75    47     0     0
    1    79    48     0     0
    1    75    47     0     0
    1    72    46     0     0
    1    76    48     0     0
    1    79    48     0     0
    1    75    46     0     0
    1    78    47     0     0
    1    77    48     0     0
    1    75    47     0     0
    1    75    47     0     0
    1    77    49     0     0
    1    77    48     0     0
    1    73    46     0     0
    1    79    48     0     0
    1    77    48     0     0
    1    72    46     0     0
    1    75    47     0     0
    1    76    47     0     0
    1    78    48     0     0
    1    72    46     0     0
    1    78    48     0     0
    1    76    47     0     0
    1    77    48     0     0
    1    72    47     0     0
    1    77    48     0     0
# gpu    sm   mem   enc   dec
# Idx     %     %     %     %
    1    79    47     0     0
    1    77    48     0     0
    1    76    47     0     0
    1    78    47     0     0
    1    80    47     0     0
    1    79    47     0     0
    1    76    48     0     0
    1    77    47     0     0
    1    79    48     0     0
    1    73    47     0     0
    1    78    47     0     0
    1    78    48     0     0
    1    77    47     0     0
    1    70    45     0     0
    1    76    48     0     0
    1    77    47     0     0
    1    74    47     0     0
    1    78    47     0     0
    1    77    48     0     0
    1    77    48     0     0
    1    74    42     0     0
    1    74    42     0     0
